PARLAMENTARIO_ID,PARTIDO_POLITICO,NOMBRE_COMPLETO
4611,Partido Unión Demócrata Independiente,Cristhian Moreira Barros
5209,Partido Comunista de Chile,Daniela Serrano Salazar
5194,,Cristian Tapia Ramos
5203,Partido Republicano de Chile,Cristian Araya Lerdo De Tejada
4647,Unión Demócrata Independiente,Cristian Labbe Martinez
5265,Partido Unión Demócrata Independiente,Cristobal Martinez Ramirez
4549,,Cristobal Urruticoechea Rios
4589,Partido Unión Demócrata Independiente,Luz Eliana Ebensperger Orrego
4629,Partido Por la Democracia,Raul Soto Mardones
4576,Partido Frente Amplio,Maite Orsini Pascal
5216,Partido Unión Demócrata Independiente,Daniel Lilayu Vivanco
5201,Partido Socialista de Chile,Daniel Manouchehri Lobos
4537,Partido Socialista de Chile,Daniel Melo Contreras
4513,Partido Comunista de Chile,Daniel Nunez Arancibia
5192,,Jaime Araya Guerrero
4585,Partido Socialista de Chile,Raul Leiva Carvajal
4510,Partido Socialista de Chile,Daniella Cicardini Milla
4562,Partido Radical Socialdemócrata,Cosme Mellado Pino
5186,Partido Socialista de Chile,Danisa Astudillo Peiretti
1646,Partido Unión Demócrata Independiente,David Sandoval Plaza
4551,Partido Frente Amplio,Diego Ibanez Cotroneo
4617,Partido Renovación Nacional,Diego Schalper Sepulveda
1713,Partido Unión Demócrata Independiente,Ivan Moreira Barros
4530,Partido Demócrata Cristiano,Ivan Flores Garcia
4521,Partido Renovación Nacional,Manuel Jose Ossandon Irarrazabal
3494,Partido Socialista de Chile,Isabel Allende Bussi
4591,Partido Renovación Nacional,Rafael Prohens Espinosa
5251,Partido Unión Demócrata Independiente,Eduardo Cornejo Lagos
4598,Partido Renovación Nacional,Eduardo Duran Salinas
5212,,Hector Ulloa Aguilera
5246,Partido Frente Amplio,Marcela Riquelme Aliaga
4553,Partido Socialista de Chile,Emilia Nuyado Ancapichun
4540,,Renzo Trisotti Martinez
5268,,Consuelo Veloso Avila
5232,,Ruben Dario Oyarzo Figueroa
5206,Partido Frente Amplio,Carolina Tello Rojas
3069,Partido Renovación Nacional,Carlos Ignacio Kuschel Silva
4572,Partido Frente Amplio,Jorge Brito Hasbun
187,Partido Social Cristiano,Rojo Edwards Silva
4604,Partido Unión Demócrata Independiente,Jorge Alessandri Vergara
5228,Partido Republicano de Chile,Luis Fernando Sanchez Ossa
4633,Partido Renovación Nacional,Rodrigo Galilea Vial
5271,,Johannes Kaiser Barents-Von Hohenhagen
4524,Unión Demócrata Independiente,Joaquin Lavin Leon
5252,Partido Social Cristiano,Roberto Arroyo Munoz
4593,Partido Republicano de Chile,Carmen Gloria Aravena Acuna
4597,Partido Comunista de Chile,Carmen Hertz Cadiz
5185,Partido Liberal de Chile,Luis Malla Valenzuela
4565,,Joanna Perez Olea
4550,Partido Por la Democracia,Carolina Marzan Pinto
4561,,Catalina Del Real Mihovilovic
135,,Rene Alinco Bustos
4607,Partido Frente Amplio,Catalina Perez Salinas
5190,Partido Frente Amplio,Javiera Morales Alvarado
2281,Partido Unión Demócrata Independiente,Javier Macaya Danus
5218,Partido Republicano de Chile,Chiara Barchiesi Chavez
